                                                                                                                                                      |SwordAttack(Skelleton2)                 |PickUpChest(Chest0)                     |SwordAttack(Skelleton1)                 |Rest                                    |GetManaPotion(ManaPotion1)              |PickUpChest(Chest4)                     |SwordAttack(Orc1)                       |LevelUp                                 |Rest                                    |Rest                                    |Rest                                    |GetHealthPotion(HealthPotion1)          |Rest                                    |PickUpChest(Chest3)                     |SwordAttack(Orc2)                       |PickUpChest(Chest0)                     |SwordAttack(Orc0)                       |SwordAttack(Orc0)                       |SwordAttack(Skelleton1)                 |SwordAttack(Skelleton1)                 |Rest                                    |SwordAttack(Skelleton4)                 |Rest                                    |PickUpChest(Chest3)                     |SwordAttack(Orc1)                       |LevelUp                                 |Rest                                    |Rest                                    |PickUpChest(Chest0)                     |SwordAttack(Skelleton0)                 |Rest                                    |PickUpChest(Chest0)                     |PickUpChest(Chest1)                     |Rest                                    |Rest                                    |Rest                                    |Rest                                    |Rest                                    |Rest                                    |Rest                                    |Rest                                    |SwordAttack(Skelleton2)                 |SwordAttack(Skelleton1)                 |SwordAttack(Skelleton1)                 |SwordAttack(Skelleton1)                 |Rest                                    |Rest                                    |SwordAttack(Orc1)                       |SwordAttack(Skelleton0)                 |PickUpChest(Chest1)                     |SwordAttack(Orc1)                       |LevelUp                                 |Rest                                    |Rest                                    |GetManaPotion(ManaPotion1)              |SwordAttack(Skelleton0)                 |SwordAttack(Skelleton0)                 |GetHealthPotion(HealthPotion0)          |SwordAttack(Orc0)                       |PickUpChest(Chest2)                     |SwordAttack(Skelleton1)                 |SwordAttack(Skelleton1)                 |SwordAttack(Skelleton1)                 |Rest                                    |Rest                                    |SwordAttack(Mighty Dragon)              |PickUpChest(Chest1)                     |GetManaPotion(ManaPotion0)              |LevelUp                                 |Rest                                    |Rest                                    |SwordAttack(Skelleton4)                 |Rest                                    |Rest                                    |SwordAttack(Mighty Dragon)              |GetHealthPotion(HealthPotion0)          |SwordAttack(Orc0)                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                            |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                            |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                            |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                            |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                            |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                            |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: RIGHT_UP Time: LESS_38HP: OK Mana: LOW Level: 1 XP: LOW Money: 0 Position: RIGHT_UP Time: LESS_38                                                                           |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: VERY_LOW Mana: LOW Level: 1 XP: HIGH Money: 0 Position: LEFT_UP Time: LESS_38HP: VERY_LOW Mana: LOW Level: 1 XP: HIGH Money: 0 Position: LEFT_UP Time: LESS_38                                                                     |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: VERY_LOW Mana: LOW Level: 2 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: VERY_LOW Mana: LOW Level: 2 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                      |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
HP: LOW Mana: LOW Level: 2 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38HP: LOW Mana: LOW Level: 2 XP: LOW Money: 0 Position: LEFT_UP Time: LESS_38                                                                           |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |0                                       |
